ForecastDate,Date,Key,Estimated,Confirmed
2020-04-23,2020-04-27,AU_ACT,104,
2020-04-23,2020-04-28,AU_ACT,104,
2020-04-23,2020-04-29,AU_ACT,104,
2020-04-23,2020-04-30,AU_ACT,104,
2020-04-23,2020-03-27,AU_NSW,1449,1405
2020-04-23,2020-03-28,AU_NSW,1612,1617
2020-04-23,2020-03-29,AU_NSW,1766,1791
2020-04-23,2020-03-30,AU_NSW,1910,1918
2020-04-23,2020-03-31,AU_NSW,2042,2032
2020-04-23,2020-04-01,AU_NSW,2162,2182
2020-04-23,2020-04-02,AU_NSW,2270,2298
2020-04-23,2020-04-03,AU_NSW,2367,2389
2020-04-23,2020-04-04,AU_NSW,2453,2493
2020-04-23,2020-04-05,AU_NSW,2529,2580
2020-04-23,2020-04-06,AU_NSW,2596,2637
2020-04-23,2020-04-07,AU_NSW,2655,2686
2020-04-23,2020-04-08,AU_NSW,2706,2734
2020-04-23,2020-04-09,AU_NSW,2750,2773
2020-04-23,2020-04-10,AU_NSW,2789,2822
2020-04-23,2020-04-11,AU_NSW,2823,2857
2020-04-23,2020-04-12,AU_NSW,2852,2854
2020-04-23,2020-04-13,AU_NSW,2877,2863
2020-04-23,2020-04-14,AU_NSW,2898,2870
2020-04-23,2020-04-15,AU_NSW,2917,2886
2020-04-23,2020-04-16,AU_NSW,2933,2897
2020-04-23,2020-04-17,AU_NSW,2947,2926
2020-04-23,2020-04-18,AU_NSW,2958,2936
2020-04-23,2020-04-19,AU_NSW,2968,2957
2020-04-23,2020-04-20,AU_NSW,2977,2963
2020-04-23,2020-04-21,AU_NSW,2985,2969
2020-04-23,2020-04-22,AU_NSW,2991,2971
2020-04-23,2020-04-23,AU_NSW,2996,2976
2020-04-23,2020-04-24,AU_NSW,3001,
2020-04-23,2020-04-25,AU_NSW,3005,
2020-04-23,2020-04-26,AU_NSW,3009,
2020-04-23,2020-04-27,AU_NSW,3012,
2020-04-23,2020-04-28,AU_NSW,3014,
2020-04-23,2020-04-29,AU_NSW,3016,
2020-04-23,2020-04-30,AU_NSW,3018,
2020-04-23,2020-03-27,AU_NT,12,14
2020-04-23,2020-03-28,AU_NT,14,15
2020-04-23,2020-03-29,AU_NT,16,15
2020-04-23,2020-03-30,AU_NT,18,15
2020-04-23,2020-03-31,AU_NT,20,19
2020-04-23,2020-04-01,AU_NT,21,19
2020-04-23,2020-04-02,AU_NT,22,21
2020-04-23,2020-04-03,AU_NT,23,22
2020-04-23,2020-04-04,AU_NT,24,26
2020-04-23,2020-04-05,AU_NT,25,27
2020-04-23,2020-04-06,AU_NT,26,28
2020-04-23,2020-04-07,AU_NT,26,28
2020-04-23,2020-04-08,AU_NT,27,28
2020-04-23,2020-04-09,AU_NT,27,28
2020-04-23,2020-04-10,AU_NT,27,28
