Date,Key,GroceryAndPharmacy,TransitStations,Parks,Workplaces,RetailAndRecreation,Residential
2020-02-18,US_AZ,2,7,14,1,4,0
2020-02-18,US_CA,0,1,13,0,0,0
2020-02-18,US_CO,-4,-1,-21,0,-5,2
2020-02-18,US_CT,-2,3,10,-1,2,0
2020-02-18,US_DE,0,6,9,2,2,0
2020-02-18,US_FL,0,5,15,2,3,0
2020-02-18,US_GA,0,3,0,-3,1,1
2020-02-18,US_HI,-2,2,1,0,-1,1
2020-02-18,US_IA,6,0,-2,3,-3,0
2020-02-18,US_ID,3,7,13,2,2,0
2020-02-18,US_IL,-1,2,3,1,1,0
2020-02-18,US_IN,0,5,8,2,4,0
2020-02-18,US_KS,2,4,9,3,4,-1
2020-02-18,US_KY,0,3,13,2,1,0
2020-02-18,US_LA,0,11,16,1,4,0
2020-02-18,US_MA,-4,-2,1,-10,3,2
2020-02-18,US_MD,0,1,8,2,2,0
2020-02-18,US_ME,-2,12,4,-12,5,2
2020-02-18,US_MI,0,4,3,-1,1,0
2020-02-18,US_MN,-2,3,-13,1,0,0
2020-02-18,US_MO,1,7,-1,4,8,-2
2020-02-18,US_MS,1,2,-2,0,2,0
2020-02-18,US_MT,1,3,3,2,1,0
2020-02-18,US_NC,4,3,-8,2,1,0
2020-02-18,US_ND,-4,9,-5,1,0,1
2020-02-18,US_NE,-3,-2,-4,1,-5,1
2020-02-18,US_NH,1,14,9,0,6,1
2020-02-18,US_NJ,0,2,15,1,2,0
2020-02-18,US_NM,4,3,6,3,2,0
2020-02-18,US_NV,1,7,11,1,1,0
2020-02-18,US_NY,-2,-3,10,-9,3,2
2020-02-18,US_OH,0,3,13,2,3,0
2020-02-18,US_OK,3,5,20,3,5,-1
2020-02-18,US_OR,3,6,51,1,4,-1
2020-02-18,US_PA,0,2,17,2,1,0
2020-02-18,US_RI,-3,0,14,-6,4,1
2020-02-18,US_SC,0,1,-13,0,1,1
2020-02-18,US_SD,-1,1,-4,1,-5,1
2020-02-18,US_TN,3,3,11,3,3,0
2020-02-18,US_TX,0,0,-12,3,-2,1
2020-02-18,US_UT,6,1,14,2,3,0
2020-02-18,US_VA,2,3,8,2,2,0
2020-02-18,US_VT,1,10,7,-3,5,1
2020-02-18,US_WA,2,7,59,-2,4,0
2020-02-18,US_WI,0,0,2,2,-1,0
2020-02-18,US_WV,-3,2,11,1,4,0
2020-02-18,US_WY,1,-2,-2,2,0,0
2020-02-18,UY,0,1,-5,7,2,-1
2020-02-18,VE,0,3,3,5,4,-3
2020-02-18,VN,-9,-12,-9,7,-9,4
2020-02-18,YE,0,1,-3,4,2,1
2020-02-18,ZA,-12,-2,-7,3,-12,1
2020-02-18,ZM,-11,-7,0,5,-8,3
2020-02-18,ZW,1,-8,-4,5,-2,1
2020-02-19,AE,1,1,6,1,-2,1
2020-02-19,AF,3,4,-1,6,-2,1
2020-02-19,AG,-2,-2,0,-1,1,1
2020-02-19,AO,-5,-3,0,4,-5,-1
2020-02-19,AR,0,7,-6,9,0,-1
2020-02-19,AT,1,1,13,-5,4,0
2020-02-19,AU,1,9,4,13,0,-2
2020-02-19,AW,-2,27,0,-13,3,1
2020-02-19,BA,2,6,5,7,1,-1
2020-02-19,BB,1,4,1,1,2,0
2020-02-19,BD,4,3,4,7,2,1
2020-02-19,BE,-1,3,5,3,-2,0
2020-02-19,BF,-2,-2,-8,3,-2,0
2020-02-19,BG,-1,3,-7,2,-2,0
2020-02-19,BH,-2,-1,-11,5,-3,0
2020-02-19,BJ,2,-6,-2,1,-3,0
2020-02-19,BO,5,0,3,17,0,-1
2020-02-19,BR,6,11,2,15,1,-2
2020-02-19,BS,-2,13,14,-3,1,0
2020-02-19,BW,3,3,-3,9,6,-1
2020-02-19,BY,8,8,15,5,10,-1
2020-02-19,BZ,0,9,28,-11,3,3
2020-02-19,CA,3,-1,13,1,5,0
2020-02-19,CH,-1,4,41,-5,2,0
2020-02-19,CI,1,4,7,-3,2,2
2020-02-19,CL,5,-3,11,-7,-1,1
