Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population
2020-01-31,CN_HI,CN,China,HI,Hainan,52,1,19.195900,109.745300,
2020-01-31,CN_HL,CN,China,HL,Heilongjiang,59,2,47.862000,127.761500,
2020-01-31,CN_HN,CN,China,HN,Hunan,332,0,27.610400,111.708800,
2020-01-31,CN_JL,CN,China,JL,Jilin,14,0,43.666100,126.192300,
2020-01-31,CN_JS,CN,China,JS,Jiangsu,168,0,32.971100,119.455000,
2020-01-31,CN_JX,CN,China,JX,Jiangxi,240,0,27.614000,115.722100,
2020-01-31,CN_LN,CN,China,LN,Liaoning,48,0,41.295600,122.608500,
2020-01-31,CN_NX,CN,China,NX,Ningxia,21,0,37.269200,106.165500,
2020-01-31,CN_QH,CN,China,QH,Qinghai,8,0,35.745200,95.995600,
2020-01-31,CN_SC,CN,China,SC,Sichuan,177,1,30.617100,102.710300,
2020-01-31,CN_SD,CN,China,SD,Shandong,184,0,36.342700,118.149800,
2020-01-31,CN_SH,CN,China,SH,Shanghai,135,1,31.202000,121.449100,
2020-01-31,CN_SN,CN,China,SN,Shaanxi,87,0,35.191700,108.870100,
2020-01-31,CN_SX,CN,China,SX,Shanxi,39,0,37.577700,112.292200,
2020-01-31,CN_TJ,CN,China,TJ,Tianjin,32,0,39.305400,117.323000,
2020-01-31,CN_XJ,CN,China,XJ,Xinjiang,17,0,41.112900,85.240100,
2020-01-31,CN_YN,CN,China,YN,Yunnan,83,0,24.974000,101.487000,
2020-01-31,CN_ZJ,CN,China,ZJ,Zhejiang,538,0,29.183200,120.093400,
2020-02-01,CN_AH,CN,China,AH,Anhui,297,0,31.825700,117.226400,
2020-02-01,CN_BJ,CN,China,BJ,Beijing,168,1,40.182400,116.414200,
2020-02-01,CN_CQ,CN,China,CQ,Chongqing,247,1,30.057200,107.874000,
2020-02-01,CN_FJ,CN,China,FJ,Fujian,144,0,26.078900,117.987400,
2020-02-01,CN_GD,CN,China,GD,Guangdong,535,0,23.341700,113.424400,
2020-02-01,CN_GS,CN,China,GS,Gansu,35,0,37.809900,101.058300,
2020-02-01,CN_GX,CN,China,GX,Guangxi,100,0,23.829800,108.788100,
2020-02-01,CN_GZ,CN,China,GZ,Guizhou,29,0,26.815400,106.874800,
2020-02-01,CN_HA,CN,China,HA,Henan,422,2,33.882000,113.614000,
2020-02-01,CN_HB,CN,China,HB,Hubei,7153,249,30.975600,112.270700,
2020-02-01,CN_HE,CN,China,HE,Hebei,96,1,39.549000,116.130600,
2020-02-01,CN_HI,CN,China,HI,Hainan,62,1,19.195900,109.745300,
2020-02-01,CN_HL,CN,China,HL,Heilongjiang,80,2,47.862000,127.761500,
2020-02-01,CN_HN,CN,China,HN,Hunan,389,0,27.610400,111.708800,
2020-02-01,CN_JL,CN,China,JL,Jilin,17,0,43.666100,126.192300,
2020-02-01,CN_JS,CN,China,JS,Jiangsu,202,0,32.971100,119.455000,
2020-02-01,CN_JX,CN,China,JX,Jiangxi,286,0,27.614000,115.722100,
2020-02-01,CN_LN,CN,China,LN,Liaoning,63,0,41.295600,122.608500,
2020-02-01,CN_NX,CN,China,NX,Ningxia,26,0,37.269200,106.165500,
2020-02-01,CN_QH,CN,China,QH,Qinghai,9,0,35.745200,95.995600,
2020-02-01,CN_SC,CN,China,SC,Sichuan,207,1,30.617100,102.710300,
2020-02-01,CN_SD,CN,China,SD,Shandong,206,0,36.342700,118.149800,
2020-02-01,CN_SH,CN,China,SH,Shanghai,169,1,31.202000,121.449100,
2020-02-01,CN_SN,CN,China,SN,Shaanxi,101,0,35.191700,108.870100,
2020-02-01,CN_SX,CN,China,SX,Shanxi,47,0,37.577700,112.292200,
2020-02-01,CN_TJ,CN,China,TJ,Tianjin,37,0,39.305400,117.323000,
2020-02-01,CN_XJ,CN,China,XJ,Xinjiang,18,0,41.112900,85.240100,
2020-02-01,CN_YN,CN,China,YN,Yunnan,91,0,24.974000,101.487000,
2020-02-01,CN_ZJ,CN,China,ZJ,Zhejiang,599,0,29.183200,120.093400,
2020-02-02,CN_AH,CN,China,AH,Anhui,340,0,31.825700,117.226400,
2020-02-02,CN_BJ,CN,China,BJ,Beijing,191,1,40.182400,116.414200,
2020-02-02,CN_CQ,CN,China,CQ,Chongqing,275,1,30.057200,107.874000,
2020-02-02,CN_FJ,CN,China,FJ,Fujian,159,0,26.078900,117.987400,
2020-02-02,CN_GD,CN,China,GD,Guangdong,632,0,23.341700,113.424400,
2020-02-02,CN_GS,CN,China,GS,Gansu,40,0,37.809900,101.058300,
2020-02-02,CN_GX,CN,China,GX,Guangxi,111,0,23.829800,108.788100,
2020-02-02,CN_GZ,CN,China,GZ,Guizhou,38,0,26.815400,106.874800,
2020-02-02,CN_HA,CN,China,HA,Henan,493,2,33.882000,113.614000,
2020-02-02,CN_HB,CN,China,HB,Hubei,9074,294,30.975600,112.270700,
2020-02-02,CN_HE,CN,China,HE,Hebei,104,1,39.549000,116.130600,
2020-02-02,CN_HI,CN,China,HI,Hainan,64,1,19.195900,109.745300,
2020-02-02,CN_HL,CN,China,HL,Heilongjiang,95,2,47.862000,127.761500,
2020-02-02,CN_HN,CN,China,HN,Hunan,463,0,27.610400,111.708800,
2020-02-02,CN_JL,CN,China,JL,Jilin,23,0,43.666100,126.192300,
2020-02-02,CN_JS,CN,China,JS,Jiangsu,236,0,32.971100,119.455000,
2020-02-02,CN_JX,CN,China,JX,Jiangxi,333,0,27.614000,115.722100,
2020-02-02,CN_LN,CN,China,LN,Liaoning,69,0,41.295600,122.608500,
2020-02-02,CN_NX,CN,China,NX,Ningxia,28,0,37.269200,106.165500,
2020-02-02,CN_QH,CN,China,QH,Qinghai,11,0,35.745200,95.995600,
2020-02-02,CN_SC,CN,China,SC,Sichuan,231,1,30.617100,102.710300,
