Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population,Region
2020-01-31,CN,CN,China,CQ,Chongqing,211,0,30.057200,107.874000,,Chongqing
2020-01-31,CN,CN,China,FJ,Fujian,120,0,26.078900,117.987400,,Fujian
2020-01-31,CN,CN,China,GD,Guangdong,436,0,23.341700,113.424400,,Guangdong
2020-01-31,CN,CN,China,GS,Gansu,29,0,37.809900,101.058300,,Gansu
2020-01-31,CN,CN,China,GX,Guangxi,87,0,23.829800,108.788100,,Guangxi
2020-01-31,CN,CN,China,GZ,Guizhou,29,0,26.815400,106.874800,,Guizhou
2020-01-31,CN,CN,China,HA,Henan,352,2,33.882000,113.614000,,Henan
2020-01-31,CN,CN,China,HB,Hubei,5806,204,30.975600,112.270700,,Hubei
2020-01-31,CN,CN,China,HE,Hebei,82,1,39.549000,116.130600,,Hebei
2020-01-31,CN,CN,China,HI,Hainan,52,1,19.195900,109.745300,,Hainan
2020-01-31,CN,CN,China,HL,Heilongjiang,59,2,47.862000,127.761500,,Heilongjiang
2020-01-31,CN,CN,China,HN,Hunan,332,0,27.610400,111.708800,,Hunan
2020-01-31,CN,CN,China,JL,Jilin,14,0,43.666100,126.192300,,Jilin
2020-01-31,CN,CN,China,JS,Jiangsu,168,0,32.971100,119.455000,,Jiangsu
2020-01-31,CN,CN,China,JX,Jiangxi,240,0,27.614000,115.722100,,Jiangxi
2020-01-31,CN,CN,China,LN,Liaoning,48,0,41.295600,122.608500,,Liaoning
2020-01-31,CN,CN,China,NX,Ningxia,21,0,37.269200,106.165500,,Ningxia
2020-01-31,CN,CN,China,QH,Qinghai,8,0,35.745200,95.995600,,Qinghai
2020-01-31,CN,CN,China,SC,Sichuan,177,1,30.617100,102.710300,,Sichuan
2020-01-31,CN,CN,China,SD,Shandong,184,0,36.342700,118.149800,,Shandong
2020-01-31,CN,CN,China,SH,Shanghai,135,1,31.202000,121.449100,,Shanghai
2020-01-31,CN,CN,China,SN,Shaanxi,87,0,35.191700,108.870100,,Shaanxi
2020-01-31,CN,CN,China,SX,Shanxi,39,0,37.577700,112.292200,,Shanxi
2020-01-31,CN,CN,China,TJ,Tianjin,32,0,39.305400,117.323000,,Tianjin
2020-01-31,CN,CN,China,XJ,Xinjiang,17,0,41.112900,85.240100,,Xinjiang
2020-01-31,CN,CN,China,YN,Yunnan,83,0,24.974000,101.487000,,Yunnan
2020-01-31,CN,CN,China,ZJ,Zhejiang,538,0,29.183200,120.093400,,Zhejiang
2020-02-01,CN,CN,China,,,11809,259,35.861660,104.195397,1433783686,
2020-02-01,CN,CN,China,AH,Anhui,297,0,31.825700,117.226400,,Anhui
