date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-05-19,GB_ENG_E10000034,15,,,,1366,,,
2020-05-19,GB_NIR,43,5,,1227,4494,495,,42075
2020-05-19,GB_NIR_N09000001,-1,,,,370,,,
2020-05-19,GB_NIR_N09000002,1,,,,480,,,
2020-05-19,GB_NIR_N09000003,3,,,,1286,,,
2020-05-19,GB_NIR_N09000004,0,,,,183,,,
2020-05-19,GB_NIR_N09000005,0,,,,163,,,
2020-05-19,GB_NIR_N09000006,1,,,,79,,,
2020-05-19,GB_NIR_N09000007,4,,,,418,,,
2020-05-19,GB_NIR_N09000008,2,,,,293,,,
2020-05-19,GB_NIR_N09000009,3,,,,210,,,
2020-05-19,GB_NIR_N09000010,2,,,,261,,,
2020-05-19,GB_NIR_N09000011,2,,,,324,,,
2020-05-19,GB_SCT,61,29,,1481,14655,2134,,90421
2020-05-19,GB_SCT_S08000015,5,,,,981,,,
2020-05-19,GB_SCT_S08000016,1,,,,317,,,
2020-05-19,GB_SCT_S08000017,0,,,,257,,,
2020-05-19,GB_SCT_S08000019,3,,,,883,,,
2020-05-19,GB_SCT_S08000020,6,,,,1206,,,
2020-05-19,GB_SCT_S08000022,2,,,,333,,,
2020-05-19,GB_SCT_S08000024,7,,,,2575,,,
2020-05-19,GB_SCT_S08000025,0,,,,7,,,
2020-05-19,GB_SCT_S08000026,0,,,,54,,,
2020-05-19,GB_SCT_S08000028,0,,,,6,,,
2020-05-19,GB_SCT_S08000029,1,,,,825,,,
2020-05-19,GB_SCT_S08000030,6,,,,1599,,,
2020-05-19,GB_SCT_S08000031,17,,,,3759,,,
2020-05-19,GB_SCT_S08000032,13,,,,1853,,,
2020-05-19,GB_WLS,201,10,,1940,13123,1250,,57667
2020-05-19,GB_WLS_W11000023,73,,,,2388,,,
2020-05-19,GB_WLS_W11000024,2,,,,255,,,
2020-05-19,GB_WLS_W11000025,25,,,,1007,,,
2020-05-19,GB_WLS_W11000028,16,,,,2472,,,
2020-05-19,GB_WLS_W11000029,24,,,,2573,,,
2020-05-19,GB_WLS_W11000030,38,,,,2367,,,
2020-05-19,GB_WLS_W11000031,14,,,,1839,,,
2020-05-19,GD,0,0,,,22,0,,
2020-05-19,GE,5,0,,,707,12,,
2020-05-19,GG,0,0,,,252,13,,
2020-05-19,GH,361,2,,4265,6096,31,,191213
2020-05-19,GI,0,0,,,147,0,,
2020-05-19,GL,0,0,,,11,0,,
2020-05-19,GM,0,0,,,24,1,,
2020-05-19,GN,67,2,,,2863,18,,
2020-05-19,GQ,171,0,,,890,7,,
2020-05-19,GR,4,0,,3444,2840,165,,139445
2020-05-19,GT,132,5,,,2133,43,,
2020-05-19,GU,0,0,,,154,5,,
2020-05-19,GW,48,2,,,1038,6,,
2020-05-19,GY,1,0,,,125,10,,
2020-05-19,HN,157,1,,,2955,147,,
2020-05-19,HR,4,1,,1221,2232,96,,57021
2020-05-19,HT,63,1,,,596,22,,
2020-05-19,HU,42,3,,4032,3598,470,,142729
2020-05-19,ID,486,30,,6340,18496,1221,,154139
2020-05-19,ID_AC,0,,,,18,,,
2020-05-19,ID_BA,4,,,,363,,,
2020-05-19,ID_BB,0,,,,29,,,
2020-05-19,ID_BE,1,,,,67,,,
2020-05-19,ID_BT,21,,,,698,,,
2020-05-19,ID_GO,0,,,,28,,,
2020-05-19,ID_JA,3,,,,84,,,
2020-05-19,ID_JB,21,,,,1700,,,
2020-05-19,ID_JI,81,,,,2377,,,
2020-05-19,ID_JK,98,,,,6155,,,
2020-05-19,ID_JT,10,,,,1175,,,
2020-05-19,ID_KB,0,,,,132,,,
2020-05-19,ID_KI,3,,,,258,,,
2020-05-19,ID_KR,13,,,,140,,,
2020-05-19,ID_KS,46,,,,484,,,
2020-05-19,ID_KT,5,,,,232,,,
2020-05-19,ID_KU,5,,,,160,,,
2020-05-19,ID_LA,1,,,,84,,,
