key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NL_GR_0037,2020-05-21,0,2,,,,,,,
NL_GR_0047,2020-05-21,0,2,,,,,,,
NL_GR_0765,2020-05-21,0,4,,,,,,,
NL_GR_1895,2020-05-21,0,7,,,,,,,
NL_GR_1950,2020-05-21,0,5,,,,,,,
NL_GR_1952,2020-05-21,0,6,,,,,,,
NL_GR_1966,2020-05-21,0,7,,,,,,,
NL_GR_1969,2020-05-21,0,14,,,,,,,
NL_LI,2020-05-21,1,1540,,,,,,,
NL_LI_0882,2020-05-21,0,52,,,,,,,
NL_LI_0888,2020-05-21,0,15,,,,,,,
NL_LI_0889,2020-05-21,0,20,,,,,,,
NL_LI_0893,2020-05-21,0,7,,,,,,,
NL_LI_0899,2020-05-21,0,42,,,,,,,
NL_LI_0907,2020-05-21,0,16,,,,,,,
NL_LI_0917,2020-05-21,1,124,,,,,,,
NL_LI_0928,2020-05-21,0,62,,,,,,,
NL_LI_0935,2020-05-21,0,182,,,,,,,
NL_LI_0938,2020-05-21,0,22,,,,,,,
NL_LI_0944,2020-05-21,0,6,,,,,,,
NL_LI_0946,2020-05-21,0,31,,,,,,,
NL_LI_0957,2020-05-21,0,59,,,,,,,
NL_LI_0965,2020-05-21,0,19,,,,,,,
NL_LI_0971,2020-05-21,0,43,,,,,,,
NL_LI_0981,2020-05-21,0,10,,,,,,,
NL_LI_0983,2020-05-21,0,126,,,,,,,
NL_LI_0984,2020-05-21,0,37,,,,,,,
NL_LI_0986,2020-05-21,0,17,,,,,,,
NL_LI_0988,2020-05-21,0,66,,,,,,,
NL_LI_0994,2020-05-21,0,17,,,,,,,
NL_LI_1507,2020-05-21,0,41,,,,,,,
NL_LI_1640,2020-05-21,0,51,,,,,,,
NL_LI_1641,2020-05-21,0,27,,,,,,,
NL_LI_1669,2020-05-21,0,27,,,,,,,
NL_LI_1711,2020-05-21,0,39,,,,,,,
NL_LI_1729,2020-05-21,0,21,,,,,,,
NL_LI_1883,2020-05-21,0,115,,,,,,,
NL_LI_1894,2020-05-21,0,143,,,,,,,
NL_LI_1903,2020-05-21,0,53,,,,,,,
NL_LI_1954,2020-05-21,0,50,,,,,,,
NL_NB,2020-05-21,-126,2609,,,,,,,
NL_NB_0743,2020-05-21,0,18,,,,,,,
NL_NB_0744,2020-05-21,0,9,,,,,,,
NL_NB_0748,2020-05-21,0,24,,,,,,,
NL_NB_0753,2020-05-21,0,31,,,,,,,
NL_NB_0755,2020-05-21,0,35,,,,,,,
NL_NB_0756,2020-05-21,0,18,,,,,,,
NL_NB_0757,2020-05-21,0,24,,,,,,,
NL_NB_0758,2020-05-21,0,143,,,,,,,
NL_NB_0762,2020-05-21,0,54,,,,,,,
NL_NB_0766,2020-05-21,0,20,,,,,,,
NL_NB_0770,2020-05-21,0,26,,,,,,,
NL_NB_0772,2020-05-21,0,178,,,,,,,
NL_NB_0777,2020-05-21,0,40,,,,,,,
NL_NB_0779,2020-05-21,0,11,,,,,,,
NL_NB_0784,2020-05-21,0,20,,,,,,,
NL_NB_0785,2020-05-21,0,32,,,,,,,
NL_NB_0786,2020-05-21,0,21,,,,,,,
NL_NB_0788,2020-05-21,0,18,,,,,,,
NL_NB_0794,2020-05-21,0,114,,,,,,,
NL_NB_0796,2020-05-21,-126,0,,,,,,,
NL_NB_0797,2020-05-21,0,44,,,,,,,
NL_NB_0798,2020-05-21,0,9,,,,,,,
NL_NB_0809,2020-05-21,0,24,,,,,,,
NL_NB_0815,2020-05-21,0,9,,,,,,,
NL_NB_0820,2020-05-21,0,18,,,,,,,
NL_NB_0823,2020-05-21,0,13,,,,,,,
NL_NB_0824,2020-05-21,0,23,,,,,,,
NL_NB_0826,2020-05-21,0,48,,,,,,,
NL_NB_0828,2020-05-21,0,164,,,,,,,
NL_NB_0840,2020-05-21,0,9,,,,,,,
NL_NB_0845,2020-05-21,0,36,,,,,,,
NL_NB_0847,2020-05-21,0,33,,,,,,,
NL_NB_0848,2020-05-21,0,31,,,,,,,
NL_NB_0851,2020-05-21,0,13,,,,,,,
NL_NB_0855,2020-05-21,0,246,,,,,,,
NL_NB_0856,2020-05-21,0,115,,,,,,,
NL_NB_0858,2020-05-21,0,19,,,,,,,
NL_NB_0861,2020-05-21,0,31,,,,,,,
NL_NB_0865,2020-05-21,0,42,,,,,,,
NL_NB_0866,2020-05-21,0,7,,,,,,,
NL_NB_0867,2020-05-21,0,33,,,,,,,
NL_NB_0873,2020-05-21,0,5,,,,,,,
NL_NB_0879,2020-05-21,0,21,,,,,,,
NL_NB_1652,2020-05-21,0,79,,,,,,,
NL_NB_1655,2020-05-21,0,13,,,,,,,
NL_NB_1658,2020-05-21,0,15,,,,,,,
NL_NB_1659,2020-05-21,0,40,,,,,,,
NL_NB_1667,2020-05-21,0,11,,,,,,,
NL_NB_1674,2020-05-21,0,28,,,,,,,
NL_NB_1684,2020-05-21,0,12,,,,,,,
NL_NB_1685,2020-05-21,0,39,,,,,,,
NL_NB_1702,2020-05-21,0,20,,,,,,,
NL_NB_1706,2020-05-21,0,63,,,,,,,
NL_NB_1709,2020-05-21,0,14,,,,,,,
NL_NB_1719,2020-05-21,0,18,,,,,,,
NL_NB_1721,2020-05-21,0,96,,,,,,,
NL_NB_1723,2020-05-21,0,18,,,,,,,
NL_NB_1724,2020-05-21,0,19,,,,,,,
NL_NB_1728,2020-05-21,0,21,,,,,,,
NL_NB_1771,2020-05-21,0,33,,,,,,,
NL_NB_1948,2020-05-21,0,210,,,,,,,
