key,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
CO_25_25873,2020-05-27,1,0,0,,7,2,4,
CO_25_25875,2020-05-23,1,0,0,,5,0,4,
CO_25_25898,2020-05-27,1,0,0,,2,0,0,
CO_25_25899,2020-05-26,3,0,0,,25,2,11,
CO_27,2020-05-27,33,0,0,,154,5,14,
CO_41_41001,2020-05-27,3,0,0,,149,7,87,
CO_41_41006,2020-05-10,1,0,0,,2,0,1,
CO_41_41013,2020-04-18,0,0,1,,1,0,1,
CO_41_41016,2020-05-20,0,0,1,,4,0,4,
CO_41_41020,2020-05-25,1,0,0,,6,0,3,
CO_41_41132,2020-05-16,1,0,0,,1,0,0,
CO_41_41298,2020-05-27,1,0,0,,2,0,1,
CO_41_41306,2020-05-27,1,0,0,,22,0,18,
CO_41_41359,2020-05-20,1,0,0,,3,2,0,
CO_41_41396,2020-05-15,1,0,0,,5,0,1,
CO_41_41503,2020-05-19,0,0,11,,12,0,11,
CO_41_41518,2020-05-21,1,0,0,,3,1,2,
CO_41_41524,2020-05-08,0,0,1,,6,0,6,
CO_41_41551,2020-05-21,1,0,1,,18,2,9,
CO_41_41660,2020-05-15,1,0,0,,1,0,0,
CO_41_41668,2020-05-16,0,0,1,,3,0,3,
CO_41_41807,2020-05-19,0,0,1,,6,1,4,
CO_44_44001,2020-05-26,2,0,0,,15,1,7,
CO_44_44035,2020-05-17,1,0,0,,4,0,1,
CO_44_44090,2020-05-15,2,0,0,,2,0,0,
CO_44_44098,2020-05-13,1,0,0,,2,0,0,
CO_44_44279,2020-05-20,0,0,1,,2,0,1,
CO_44_44430,2020-05-27,1,0,0,,23,2,2,
CO_44_44650,2020-05-23,1,0,0,,7,1,3,
CO_47_47001,2020-05-27,10,0,0,,301,21,108,
CO_47_47053,2020-05-15,1,0,0,,1,0,0,
CO_47_47189,2020-05-27,3,0,0,,93,5,43,
CO_47_47245,2020-05-21,1,0,0,,8,1,0,
CO_47_47258,2020-05-25,1,0,0,,1,0,0,
CO_47_47268,2020-05-15,1,0,0,,2,0,0,
CO_47_47288,2020-05-16,1,0,0,,3,0,0,
CO_47_47551,2020-05-26,1,0,0,,2,0,0,
CO_47_47570,2020-05-27,4,0,0,,119,9,8,
CO_47_47745,2020-05-27,2,0,0,,7,0,0,
CO_47_47980,2020-05-15,2,0,0,,11,2,1,
CO_50_50001,2020-05-26,2,0,1,,935,8,83,
CO_50_50006,2020-05-21,0,0,1,,15,0,9,
CO_50_50124,2020-05-24,1,0,0,,1,0,0,
CO_50_50313,2020-05-24,1,0,0,,8,0,3,
CO_50_50568,2020-05-13,1,0,0,,1,0,0,
CO_50_50573,2020-05-26,1,0,0,,4,1,0,
CO_50_50606,2020-05-06,1,0,1,,4,0,2,
CO_50_50680,2020-05-16,1,0,0,,1,0,0,
CO_50_50683,2020-05-21,0,0,1,,3,0,1,
CO_52_52001,2020-05-27,2,0,0,,85,7,14,
CO_52_52022,2020-05-22,1,0,0,,1,0,0,
CO_52_52036,2020-05-01,1,0,0,,1,0,0,
CO_52_52083,2020-04-28,1,0,0,,1,0,0,
CO_52_52210,2020-05-15,1,0,0,,4,0,1,
CO_52_52224,2020-05-11,0,0,3,,6,0,4,
CO_52_52227,2020-05-27,1,0,0,,5,0,3,
CO_52_52233,2020-04-17,0,0,1,,1,0,1,
CO_52_52317,2020-05-26,1,0,0,,4,0,0,
CO_52_52356,2020-05-27,4,0,0,,138,3,41,
CO_52_52378,2020-05-15,1,0,0,,1,0,0,
CO_52_52381,2020-05-09,0,0,1,,1,0,1,
CO_52_52390,2020-05-24,1,0,0,,3,0,0,
CO_52_52399,2020-04-16,0,0,1,,1,0,1,
CO_52_52411,2020-05-12,0,1,0,,1,1,0,
CO_52_52427,2020-05-25,1,0,0,,2,1,0,
CO_52_52435,2020-05-25,1,0,0,,2,0,0,
CO_52_52473,2020-05-25,8,0,0,,23,2,0,
CO_52_52490,2020-05-27,1,0,0,,5,0,0,
CO_52_52520,2020-05-27,2,0,0,,2,0,0,
CO_52_52560,2020-05-23,0,1,0,,6,1,0,
CO_52_52693,2020-05-25,1,0,0,,1,0,0,
CO_52_52835,2020-05-27,13,0,0,,527,21,15,
CO_52_52838,2020-05-27,1,0,0,,4,1,0,
CO_54_54001,2020-05-26,1,0,1,,89,9,64,
CO_54_54003,2020-05-21,0,1,0,,1,1,0,
CO_54_54125,2020-05-06,0,0,1,,1,0,1,
CO_54_54261,2020-05-12,1,0,0,,1,0,0,
CO_54_54398,2020-05-26,1,0,0,,1,0,0,
CO_54_54405,2020-05-27,1,0,0,,5,0,2,
CO_54_54498,2020-05-27,1,0,0,,11,2,4,
CO_54_54518,2020-05-27,1,0,0,,4,0,0,
